334;Iut de Bobigny;06/10/2016;Non;01 48 38 84 19;gb.iutb@univ-paris13.fr ;1, rue de Chablis;93000;BOBIGNY   ;Non;DUT BIO
335;Lycée Charles Péguy;11/10/2016;Non;01 48 30 31 82;ce.0930962r@ac-creteil.fr;216 avenue Henri Barbusse;93000;BOBIGNY   ;Oui;Non
336;Lycée Louise Michel;11/10/2016;Non;01 48 10 22 44;ce.0931613y@ac-creteil.fr;70 avenue Jean Jaurès;93000;BOBIGNY   ;Oui;Non
337;Iut de Montreuil;06/10/2016;Non;01 48 70 37 12;informatique@iut.univ-paris8.fr ;140, rue de la Nouvelle France;93100;MONTREUIL   ;Non;DUT INFO
338;Iut de Montreuil;06/10/2016;Non;01 48 70 37 43;qlio@iut.univ-paris8.fr ;140 Rue de la nouvelle France;93100;MONTREUIL   ;Non;DUT QLIO
339;Lycée Condorcet;12/10/2016;Non; 01 48 57 50 63;ce.0930122C@ac-creteil.fr;31 rue Désiré Chevalier;93100;MONTREUIL   ;Oui;Oui
340;Lycée Henri Matisse;12/10/2016;Non;01 45 28 44 70;ce.0930965U@ac-creteil.fr;88 bis rue Jules Guesde;93100;MONTREUIL   ;Oui;Non
341;Lycée Jean Jaurès;12/10/2016;Non;01 42 87 49 84; ce.0930121b@ac-creteil.fr;1 rue Dombasle;93105;MONTREUIL CEDEX  ;Oui;CPGE 
342;Lycée technique ORT Daniel Mayer;12/10/2016;Non;01 49 88 46 50;ce.0931796X@ac-creteil.fr;39-45 rue Raspail;93107;MONTREUIL   ;Oui;Non
343;Lycée Charles de Gaulle;13/10/2016;Non;01 48 94 30 62;ce.0932031C@ac-creteil.fr;102 rue Lavoisier;93110;ROSNY SOUS BOIS ;Oui;Non
344;Lycée Jacques Brel;11/10/2016;Non;01 43 11 36 00 ;ce.0931430z@ac-creteil.fr;4-6 Rue Dulcie September;93120;LA COURNEUVE  ;Oui;Non
345;Iut de Saint-Denis - Site de la Plaine;06/10/2016;Non;01 55 93 75 10;sgm-dir@iutsd.univ-paris13.fr ;3, rue de la Croix Faron;93120;LA PLAINE SAINT DENIS;Non;DUT SGM
346;Lycée Olympe de Gouges;12/10/2016;Non;01 48 43 42 02;ce.0930123D@ac-creteil.fr;Rue de Montreuil à Claye;93130;NOISY LE SEC ;Oui;Non
347;Lycée Jean Renoir;11/10/2016;Non;1 48 02 58 00; ce.0930118Y@ac-creteil.fr;11 rue Frémin BP 133;93140;BONDY CEDEX  ;Oui;Non
348;Lycée Wolfgang Amadeus Mozart;11/10/2016;Non;01 49 39 07 75;ce.0932034F@ac-creteil.fr;10 avenue Charles de Gaulle BP 24;93150;LE BLANC MESNIL ;Oui;Non
349;Lycée Flora Tristan;12/10/2016;Non;01 48 15 16 60; ce.0931565W@ac-creteil.fr;27 rue des Hauts Roseaux;93160;NOISY LE GRAND ;Oui;Non
350;Lycée polyvalent Evariste Galois;12/10/2016;Non;01 48 15 15 90; ce.0932047V@ac-creteil.fr;32 avenue Montaigne ;93165;NOISY LE GRAND ;Oui;Oui
351;Lycée Françoise Cabrini;12/10/2016;Non;O1 48 15 16 25; ce.0932036H@ac-creteil.fr;20 rue du Docteur Sureau;93167;NOISY LE GRAND ;Oui;Non
352;Lycée Eugène Hénaff;11/10/2016;Non;01 41 63 26 10;ce.0932119Y@ac-creteil.fr;55 avenue Raspail;93170;BAGNOLET   ;Oui;Non
353;Lycée André Boulloche;11/10/2016;Non;01 56 46 90 00; ce.0931585T@ac-creteil.fr;18 boulevard Gutenberg;93190;LIVRY GARGAN  ;Oui;Non
354;Lycée Jean-Baptiste de La Salle;13/10/2016;Non;01 55 87 45 00;ce.0931797Y@ac-creteil.fr;6-8 place de la Résistance;93200;SAINT DENIS  ;Oui;Oui
355;Lycée Paul Eluard;13/10/2016;Non;01 49 71 70 00;ce.0930125F@ac-creteil.fr;15 avenue Jean Moulin;93200;SAINT DENIS  ;Oui;Oui
356;Lycée Suger;13/10/2016;Non;01 48 13 37 60;ce.0932121A@ac-creteil.fr;6 avenue le Roy des Barres;93200;SAINT DENIS  ;Oui;Non
357;Iut de Saint-Denis;06/10/2016;Non;01 49 40 61 89;gim-adm@iutsd.univ-paris13.fr ;Place du 8 Mai 1945;93206;SAINT DENIS  ;Non;DUT GIM
358;Iut de Saint-Denis;06/10/2016;Non;01 49 40 61 60;gmp-adm@iutsd.univ-paris13.fr ;Place du 8 Mai 1945;93206;SAINT DENIS  ;Non;DUT GMP
359;Iut de Saint-Denis;06/10/2016;Non;01 49 40 62 21;hse-adm@iutsd.univ-paris13.fr ;Place du 8 Mai 1945;93206;SAINT DENIS  ;Non;DUT HSE
360;Iut de Saint-Denis;06/10/2016;Non;01 49 40 62 53;mp-adm@iutsd.univ-paris13.fr ;Place du 8 Mai 1945;93206;SAINT DENIS  ;Non;DUT MP
361;Lycée Gustave Eiffel;11/10/2016;Non;01 43 02 80 36;ce.0931272C@ac-creteil.fr;16 Chemin de la Renardière;93220;GAGNY   ;Oui;Oui
362;Lycée polyvalent Liberté;13/10/2016;Non;01 41 83 24 90;ce.0932267J@ac-creteil.fr;27 rue de la Liberté;93230;ROMAINVILLE   ;Oui;Non
363;Lycée Maurice Utrillo;13/10/2016;Non;01 49 71 40 00;ce.0932030b@ac-creteil.fr;152 rue Jean Durand;93240;STAINS   ;Oui;Non
364;Lycée Blanche de Castille;13/10/2016;Non;01 48 54 06 45;ce.0930974D@ac-creteil.fr;1 place Charles de Gaulle;93250;VILLEMOMBLE   ;Oui;Non
365;Lycée Clemenceau;13/10/2016;Non;01 48 12 91 20; ce.0930127H@ac-creteil.fr;130 rue de Neuilly;93250;VILLEMOMBLE   ;Oui;Non
366;Lycée Paul Robert;11/10/2016;Non;01 48 10 88 88;ce.0932073Y@ac-creteil.fr;2 rue du Château;93260;LES LILAS  ;Oui;Non
367;Lycée polyvalent Blaise Cendrars;13/10/2016;Non;01 49 36 20 50;ce.0932048W@ac-creteil.fr;12 avenue Léon Jouhaux;93270;SEVRAN   ;Oui;Non
368;Iut de Tremblay;06/10/2016;Non;01 41 51 12 24;departement.gim@iu2t.univ-paris8.fr ;3 Rue de la Râperie;93290;TREMBLAY EN France ;Non;DUT GIM
369;Lycée polyvalent Léonard de Vinci;13/10/2016;Non;01 41 51 19 20;ce.0932046U@ac-creteil.fr;115 route des Petits Ponts BP 122;93290;TREMBLAY EN France ;Oui;Non
370;Lycée Chne Ohr;07/10/2016;Non; 01 41 61 17 70;ce.0932110n@ac-creteil.fr;17-25 rue du Clos Besnard;93300;AUBERVILLIERS   ;Oui;Non
371;Lycée général et technologique Henri Wallon;07/10/2016;Non;01 48 11 18 20;ce.0930116W@ac-creteil.fr;146 rue des Cités;93300;AUBERVILLIERS   ;Oui;Non
372;Lycée Le Corbusier;07/10/2016;Non;01 48 33 74 57; ce.0930117x@ac-creteil.fr;44 rue Léopold Rechossiere;93300;AUBERVILLIERS   ;Oui;Oui
373;Lycée Alliance;12/10/2016;Non;01 48 48 16 17;ce.0931813R@ac-creteil.fr;35 allée Robert Estienne;93320;LES PAVILLONS SOUS LES;Oui;Non
374;Lycée polyvalent Nicolas Joseph Cugnot;12/10/2016;Non;01 49 44 81 10;ce.0932291K@ac-creteil.fr;55 bld Louis Armand;93330;NEUILLY SYR MARNE ;Oui;Non
375;Lycée René Cassin;12/10/2016;Non;01 43 01 30 30; ce.0932222K@ac-creteil.fr;16 Allée des Bosquets;93340;LE RAINCY  ;Oui;Non
376;Lycée Saint-Louis Sainte-Clotilde;12/10/2016;Non;01 43 01 31 40;direction@saintlouis-sainteclotilde.org;37 allée La Fontaine BP 131;93340;LE RAINCY  ;Oui;Non
377;Lycée Albert Schweitzer;12/10/2016;Non;01 41 53 11 50;ce.0930830X@ac-creteil.fr;11 allée Valère Lefebvre;93342;LE RAINCY  ;Oui;CPGE 
378;Lycée Germaine Tillion;11/10/2016;Non;01 43 11 26 10;ce.0932577W@ac-creteil.fr;48 bis rue Anizan Cavaillon;93350;LE BOURGET  ;Oui;Non
379;Lycée Alfred Nobel;11/10/2016;Non;01 41 70 10 00; ce.0932026X@ac-creteil.fr;20 allée de Gagny;93390;CLICHY SOUS BOIS ;Oui;Non
380;Lycée Auguste Blanqui;13/10/2016;Non;01 49 18 16 80;ce.0930126G@ac-creteil.fr;54 rue Charles Schmidt BP 196;93400;SAINT OUEN  ;Oui;Non
381;Lycée Marcel Cachin;13/10/2016;Non;01 49 18 97 50;ce.0932074Z@ac-creteil.fr;11-13 rue Marcel Cachin;93400;SAINT OUEN  ;Oui;Non
382;Lycée Fénelon;13/10/2016;Non;01 49 63 62 00;ce.0931799A@ac-creteil.fr;1 rue de Montauban;93410;VAUJOURS   ;Oui;Non
383;Lycée Jean Rostand;13/10/2016;Non;01 49 36 24 44;ce.0931584S@ac-creteil.fr;8 rue Pierre Audat;93420;VILLEPINTE   ;Oui;Oui
384;Iut de Villetaneuse;06/10/2016;Non;01 49 40 31 20;secrinfo@iutv.univ-paris13.fr ;99 Avenue Jean-Baptiste Clément;93430;VILLETANEUSE   ;Non;DUT INFO
385;Iut de Villetaneuse;06/10/2016;Non;01 49 40 37 79;secrgeii@iutv.univ-paris13.fr ;99 Avenue Jean-Baptiste Clément;93430;VILLETANEUSE   ;Non;DUT GEII
386;Iut de Villetaneuse;06/10/2016;Non;01 49 40 37 16;secrgtr@iutv.univ-paris13.fr ;99 Avenue Jean-Baptiste Clément;93430;VILLETANEUSE   ;Non;DUT RT
387;Lycée Lucie Aubrac;12/10/2016;Non;01 41 83 09 70;0932117W@ac-creteil.fr;51 rue Victor Hugo;93500;PANTIN   ;Oui;Non
388;Lycée Marcelin Berthelot;12/10/2016;Non;01 48 46 30 70;ce.0930124E@ac-creteil.fr;110-114 avenue Jean Jaurès;93500;PANTIN   ;Oui;Non
389;Lycée Ohr Sarah;12/10/2016;Non;01 48 45 64 21;ce.0931970L@ac-creteil.fr;6 rue Saint Louis;93500;PANTIN   ;Oui;Non
390;Lycée Voillaume;11/10/2016;Non;01 48 19 31 93 ;ce.0930834b@ac-creteil.fr;136 Rue Mittry;93600;AULNAY SOUS BOIS ;Oui;Oui
391;Lycée général et technologique Jean Zay;11/10/2016;Non;01 48 66 04 98; ce.0930833A@ac-creteil.fr;Avenue du Maréchal Juin;93604;AULNAY SOUS BOIS ;Oui;Non
392;Lycée l'Espérance;11/10/2016;Non;01 48 19 89 10;ce.0930961P@ac-creteil.fr;35 rue Anatole France BP 97;93622;AULNAY SOUS BOIS ;Oui;Non
393;Lycée Eugène Delacroix;11/10/2016;Non;01 41 60 83 15;ce.0930119z@ac-creteil.fr;4 rue du Docteur Schweitzer;93700;DRANCY   ;Oui;Non
394;Lycée général privé Saint Germain;11/10/2016;Non;09 82 36 02 42;direction.lycee.st.germain@gmail.com;103 rue Sadi Carnot;93700;DRANCY   ;Oui;Non
395;Lycée paul le rolland;11/10/2016;Non;01 48 32 01 30;0932229T@ac-creteil.fr;136 avenue de Castelnau;93700;DRANCY   ;Oui;Oui
396;Lycée Jacques Feyder;13/10/2016;Non;01 49 71 72 00;lycee.feyder@ac-creteil.fr;10 rue Henri Wallon BP 100;93801;EPINAY SUR SEINE ;Oui;Non
397;Lycée Antoine de Saint-Exupéry;14/10/2016;Non;01 41 94 28 28;ce.0940114N@ac-creteil.fr;4 rue Henri Matisse;94000;CRETEIL   ;Oui;Non
398;Lycée Edouard Branly;14/10/2016;Non;01 43 39 34 75;ce.0941018W@ac-creteil.fr;33 rue du Petit Bois;94000;CRETEIL   ;Oui;Oui
399;Lycée général et technologique de l'ensemble Sainte-Marie;14/10/2016;Non;01 45 17 21 70;contact@ensemblesaintemarie.fr;22 avenue de Verdun;94000;CRETEIL   ;Oui;Non
400;Iut de Créteil-Vitry;06/10/2016;Non;01 45 17 17 55;geii-iutcv@u-pec.fr ;61 avenue du Général de Gaulle ;94010;CRETEIL CEDEX  ;Non;DUT GEII
401;Iut de Créteil-Vitry;06/10/2016;Non;01 45 17 17 49;mp-iutcv@u-pec.fr ;61 avenue du Général de Gaulle ;94010;CRETEIL CEDEX  ;Non;DUT MP
402;Iut de Créteil-Vitry ;06/10/2016;Non;01 45 17 17 01;dir-iutcv@univ-paris12.fr;61 avenue du Général de Gaulle ;94010;CRETEIL CEDEX  ;Non;DUT BIO
403;Lycée Léon Blum;14/10/2016;Non;01 48 99 22 48;ce.0941413a@ac-creteil.fr;5 rue Jean Gabin;94034;CRETEIL CEDEX  ;Oui;Non
404;Lycée Johannes Gutenberg;14/10/2016;Non;1 45 13 26 80; ce.0941930M@ac-creteil.fr;16 rue de Saussure;94044;CRETEIL CEDEX  ;Oui;Non
405;Lycée Teilhard de Chardin;14/10/2016;Non;01 48 89 66 66;ce.0940878U@ac-creteil.fr;2 place d'Armes;94106;SAINT MAUR DES FOSSÉS;Oui;Non
406;Lycée d'Arsonval;14/10/2016;Oui;01 48 83 98 43;ce.0940121w@ac-creteil.fr;65 rue du Pont de Créteil;94107;SAINT MAUR DES FOSSÉS;Oui;CPGE 
407;Lycée Marcelin Berthelot;14/10/2016;Non;01 45 11 51 11; ce.0940120V@ac-creteil.fr;6 boulevard Maurice Berteaux;94107;SAINT MAUR DES FOSSÉS;Oui;CPGE 
408;Lycée Maximilien Perret;13/10/2016;Non;01 43 53 52 00;ce.0940126B@ac-creteil.fr;Place San Benedetto del Tronto BP 56 ;94120;ALFORTVILLE CEDEX  ;Oui;Oui
409;Lycée Pablo Picasso;14/10/2016;Non;01 48 76 26 73;ce.0941347D@ac-creteil.fr;2 avenue Pablo Picasso;94120;FONTENAY SOUS BOIS ;Oui;Non
410;Lycée Albert de Mun;14/10/2016;Non;01 48 73 79 91;info@albertdemun.org;5 avenue Georges Clemenceau;94130;NOGENT SUR MARNE ;Oui;Non
411;Lycée Edouard Branly;14/10/2016;Non;01 48 73 22 12;ce.0940117S@ac-creteil.fr;8 rue Baüyn de Perreuse;94130;NOGENT SUR MARNE ;Oui;Non
412;Lycée Louis Armand;14/10/2016;Non;01 45 14 28 28 ;ce.0940118T@ac-creteil.fr;173 Boulevard de Strasbourg;94130;NOGENT SUR MARNE ;Oui;Oui
413;Lycée Montalembert;14/10/2016;Non;01 48 73 76 46 ;ce.0940881X@ac-creteil.fr;28 boulevard Gambetta;94130;NOGENT SUR MARNE ;Oui;Non
414;Lycée Saint-Michel de Picpus;14/10/2016;Non;01 43 74 79 52;vduros@smpicpus.fr;10 ter rue Jeanne d'Arc;94160;SAINT MANDÉ CEDEX ;Oui;Non
415;Lycée Paul Doumer;14/10/2016;Non;01 43 24 05 80;ce.0940119U@ac-creteil.fr;2 rue Paul Doumer;94170;LE PERREUX SUR MARNE;Oui;Non
416;Lycée François Arago;14/10/2016;Non;01 45 10 87 00;ce.0941952L@ac-creteil.fr;36 avenue de l'Europe;94190;VILLENEUVE SAINT GEORGES ;Oui;Non
417;Lycée Romain-Rolland;14/10/2016;Non;01 46 80 15 60;0940115P@ac-creteil.fr;17 rue Lucien Nadaire;94200;IVRY SUR SEINE ;Oui;Non
418;Lycée François Mansart;14/10/2016;Non;01 48 83 48 80;ce.0940585A@ac-creteil.fr;25 avenue de la Banque BP 99;94210;SAINT MAUR DES FOSSÉS;Oui;Oui
419;Lycée Condorcet;14/10/2016;Non;01 49 76 15 76;ce.0940122X@ac-creteil.fr;1 avenue Condorcet;94214;LA VARENNE SAINT HILAIRE;Oui;Non
420;Lycée Notre-Dame des Missions St Pierre;14/10/2016;Non;01 43 68 05 28;direction.ndm@wanadoo.fr;4 rue du Président Kennedy;94220;CHARENTON LE PONT ;Oui;Non
421;Lycée polyvalent Robert Schuman;14/10/2016;Non;01 43 68 95 59;ce.0941974K@ac-creteil.fr;2 rue de l'Embarcadère;94220;CHARENTON LE PONT ;Oui;Non
422;Iut de Cachan;06/10/2016;Non;01 41 24 11 30;nicolas.liebeaux@u-psud.fr ;9 Avenue de la Division Leclerc  ;94230;CACHAN   ;Non;DUT GEII
423;Iut de Cachan;06/10/2016;Non;01 41 24 11 70;pierre-andre.gouge@u-psud.fr ;9 Avenue de la Division Leclerc  ;94230;CACHAN   ;Non;DUT GMP
424;Lycée Gustave Eiffel;14/10/2016;Non;01 47 40 47 20;ce.0940111K@ac-creteil.fr;61 Avenue du Président Wilson;94230;CACHAN   ;Oui;Oui
425;Lycée Maximilien Sorre;14/10/2016;Non;01 47 40 49 60;ce.0940580V@ac-creteil.fr;61 avenue du Président Wilson;94235;CACHAN   ;Oui;Oui
426;Lycée Fréderic Mistral;14/10/2016;Non;01 49 84 90 90 ;ce.0941301D@ac-creteil.fr;7-9 Rue Frédéric Mistral;94260;FRESNES   ;Oui;Non
427;Lycée Darius Milhaud;14/10/2016;Non;01 43 90 15 15;ce.0941474S@ac-creteil.fr;80 rue Professeur Bergonie;94270;LE KREMLIN BICETRE ;Oui;Non
428;Lycée Georges Brassens;14/10/2016;Non;01 45 97 33 20; ce.0940743X@ac-creteil.fr;12 avenue le Foll;94290;VILLENEUVE LE ROI ;Oui;Non
429;Lycée Notre-Dame de la Providence;20/10/2016;Non;01 43 28 03 59;ce.0940877t@ac-creteil.fr;41 rue de Fontenay;94307;VINCENNES CEDEX  ;Oui;Non
430;Lycée Claude Nicolas Ledoux - EBTP;20/10/2016;Non;01 48 08 11 21;secretariat@ebtp.info;18 rue de Belfort;94307;VINCENNES CEDEX  ;Oui;Oui
431;Lycée Gregor Mendel;20/10/2016;Non;01 49 57 97 00;contact@gregormendel.org;205 rue de Fontenay;94300;VINCENNES   ;Oui;Oui
432;Lycée Hector Berlioz;20/10/2016;Non;01 43 28 32 82;ce.0940124Z@ac-creteil.fr;8 avenue Antoine Quinson;94307;VINCENNES CEDEX  ;Oui;Non
433;Lycée Guillaume Apollinaire;14/10/2016;Non;01 48 52 58 77;ce.0940123Y@ac-creteil.fr;42 rue du Pavé de Grignon;94320;THIAIS   ;Oui;Non
434;Lycée Christophe Colomb;14/10/2016;Non;01 49 82 29 29;e.0941918Z@ac-creteil.fr;154 rue de Boissy;94370;SUCY EN BRIE ;Oui;CPGE 
435;Lycée du petit Val;14/10/2016;Non;01 45 90 20 47;petitval@wanadoo.fr;12 avenue Albert Pleuvry;94370;SUCY EN BRIE ;Oui;Non
436;Iut de Créteil-Vitry - Site de Vitry;06/10/2016;Non;01 41 80 73 05;ch-iutcv@u-pec.fr ;122 Rue Paul Armangot;94400;VITRY SUR  SEINE;Non;DUT CHIMIE
437;Iut de Créteil-Vitry - Site de Vitry;06/10/2016;Non;01 41 80 73 75;rt-iutcv@u-pec.fr ;122 Rue Paul Armangot;94400;VITRY SUR  SEINE;Non;DUT RT
438;Lycée Jean Macé;20/10/2016;Non;01 45 73 63 00;ce.0940129e@ac-creteil.fr ;34, rue Jules Ferry;94400;VITRY SUR SEINE ;Oui;Oui
439;Lycée Epin;20/10/2016;Non;01 46 81 11 06;ce.0941719H@ac-creteil.fr;19 avenue Eugène Pelletan;94400;VITRY SUR SEINE ;Oui;Non
440;Lycée polyvalent Adolphe Cherioux;20/10/2016;Non;01 45 12 87 87;ce.0941294W@ac-creteil.fr;195 rue Julian Grimau BP 210;94400;VITRY SUR SEINE CEDEX;Oui;Non
441;Lycée Champlain;14/10/2016;Non;01 56 86 19 10;ce.0941470M@ac-creteil.fr;Rue des Bordes;94430;CHENNEVIERES SUR MARNES ;Oui;Non
442;Lycée Guillaume Budé;14/10/2016;Non;01 45 10 37 00;ce.0940742W@ac-creteil.fr;2 voie Georges Pompidou;94450;LIMEIL BREVANNES CEDEX ;Oui;Non
443;Cours Bernard Palissy;14/10/2016;Non;01 45 69 20 13; ce.0941909P@ac-creteil.fr;2 rue Mercière;94470;BOISSY SAINT LEGER ;Oui;Non
444;Lycée Langevin - Wallon;14/10/2016;Non; 01 48 81 28 33;ce.0940113M@ac-creteil.fr;126 avenue Roger Salengro;94500;CHAMPIGNY SUR MARNE ;Oui;Oui
445;Lycée Louise Michel;14/10/2016;Non;01 48 82 07 35;ce.0940112L@ac-creteil.fr;7 rue Pierre Marie Derrien;94500;CHAMPIGNY SUR MARNE ;Oui;Non
446;Lycée Marx Dormoy;14/10/2016;Non;01 45 16 69 00;ce.0941951k@ac-creteil.fr;500 rue du Professeur Milliez;94507;CHAMPIGNY SUR MARNE ;Oui;Non
447;Lycée Pauline Roland;14/10/2016;Non;01 49 08 09 40;Ce.0942269f@ac-creteil.fr;17 avenue du Général de Gaulle;94550;CHEVILLY LARUE  ;Oui;Non
448;Lycée Saint-André;14/10/2016;Non;01 48 84 73 20;saint-andre-choisy-le-roi@wanadoo.fr;12 avenue Léon Gourdault;94600;CHOISY LE ROI ;Oui;Non
449;Lycée Eugène Delacroix;14/10/2016;Non;01 45 18 32 70;ce.0940116R@ac-creteil.fr;5 rue Pierre Curie;94700;MAISONS ALFORT  ;Oui;Non
450;Lycée CARNOT;22-oct.-15;Non;03 80 68 63 00;0210015c@ac-dijon.fr;16 Boulevard Thiers;21000;DIJON   ;S;CPGE BCPST - MP - PC – PSI
451;Lycée CHARLES DE GAULLE;14-nov.-07;Non;03 80 70 17 17;0211928g@ac-dijon.fr;25 Av. Gal Touret du Vigier;21000;DIJON   ;Non;Non
452;Lycée G. EIFFEL;14-nov.-07;Non;03 80 60 42 12;0211033j@ac-dijon.fr;15 avenue Champollion;21000;DIJON   ;Oui;Oui
453;Lycée Les Marcs d'or;5-mai-10;Non;03 80 21 00 60;0211986@ac-dijon.fr;24 Chemin de La Motte Giron;21000;DIJON   ;Oui;Oui
454;Lycée MONTCHAPET;15-avr.-10;Non;03 80 53 29 29;0210017e@ac-dijon.fr;36 Boulevard François Pompon;21000;DIJON   ;Non;Non
455;Lycée NOTRE DAME;15-avr.-10;Non;03 80 58 20 10;contactlyc@cdyse.fr;97 rue de Talan;21000;DIJON   ;Non;Non
456;Lycée ST BENIGNE;15-avr.-10;Non;03 80 58 33 43;info@groupe-sb.org;97 Rue de Talant;21000;DIJON   ;Oui;Non
457;Lycée PRIVE  ST JOSEPH;21-avr.-10;Non;03 80 59 20 20;lycee@stjodijon.com;39 rue du Transvaal BP 390;21010;DIJON CEDEX  ;Oui;Oui
458;L. HIPPOLYTE FONTAINE;13-mars-10;Non;03 80 38 36 00;0210018f@ac-dijon.fr;20 Boulevard Voltaire BP 1512;21033;DIJON CEDEX  ;Non;Non
459;Lycée LE CASTEL;23-avr.-10;Non;03 80 76 70 00;0210019g@ac-dijon.fr;Rue Daubenton;21033;DIJON CEDEX  ;Non;Non
460;IUT;20/11/2007;Non;03 80 39 64 01;;Boulevard Docteur Petitjean  BP 17867;21078;DIJON CEDEX  ;Non;DUT GI
461;IUT;20/11/2007;Non;03 80 39 64 01;;Boulevard Docteur Petitjean  BP 17867;21078;DIJON CEDEX  ;Non;DUT GMP
462;IUT;20/11/2007;Non;03 80 39 64 01;;Boulevard Docteur Petitjean  BP 17867;21078;DIJON CEDEX  ;Non;DUT SRC
463;IUT;20/11/2007;Non;03 80 39 64 01;;Boulevard Docteur Petitjean  BP 17867;21078;DIJON CEDEX  ;Non;DUT BIO
464;Lycée de la céramique Henri Moisand;;Non;03 80 47 29 30;0210032w@ac-dijon.fr;Rue du lycée;21110;LONGCHAMP   ;Non;Oui
465;Lycée Anna Judic;;Non;03 80 89 70 00;0210047m@ac-dijon.fr;3, rue du Champ-de-Foire, BP 70;21140;SEMUR EN AUXOIS ;Oui;Non
466;Lycée du CLOS MAIRE;14-nov.-07;Non;03 80 24 40 00;0210006t@ac-dijon.fr;4 rue des Rôles;21200;BEAUNE   ;Non;Non
467;Lycée Etienne Jules Marey;23-oct.-13;Non;03 80 24 83 00;0212045j@ac-dijon.fr;5 rue du 16e Chasseurs;21206;BEAUNE Cedex  ;Oui;Oui
468;Lycée STEPHEN-LIEGEARD;;Non;03 80 59 94 59;0210012z@ac-dijon.fr;Château Liegeard;21220;BROCHON   ;Non;Non
469;LYCEE PRIEUR DE LA COTE D'OR;14-nov.-07;Non;03 80 27 00 00 ;0210003p@ac-dijon.fr;6 Rue Vauban;21330;AUXONNE   ;Non;Non
470;Lycée JM BOIVIN;;Non;03 80 48 15 80;0211909l@ac-dijon.fr;4bis Route de Dijon;21800;CHEVIGNY ST SAUVEUR ;Non;Non
471;LEGTA de Nevers-Cosne - Site de Challuy;;Non;03 86 21 66 OO;nevers.legta@educagri.fr;243 route de Lyon;58000;NEVERS   ;Oui;Non
472;Lycée ALAIN COLAS;;Non;03 86 57 47 48;0580753d@ac-dijon.fr;Rue Destutt de Tracy;58000;NEVERS   ;Non;Non
473;Lycée privé technologique et professionnel Saint-Joseph;;Non;03 86 71 65 10;secretariat@stjonevers.com;118 rue des Montapins;58000;NEVERS   ;Oui;Oui
474;Lycée Raoul FOLLEREAU;3-déc.-07;Non;03 86 60 36 00 ;0580032v@ac-dijon.fr;9 Boulevard St Exupéry;58000;NEVERS   ;Non;Non
475;Lycée Po. J. RENARD;3-déc.-07;Non;03 86 71 47 00 ;0580031u@ac-dijon.fr;11 Bd St Exupéry BP 247;58002;NEVERS CEDEX  ;Oui;Oui
476;Lycee GEORGE SAND;;Non;03 86 28 23 45;0580014a@ac-dijon.fr;Rue du Colonel Rabier;58206;COSNE   ;Non;Non
477;Lycée POLYVALENT M. GENEVOIX;;Non;03 86 77 07 30;0580761m@ac-dijon.fr;51 Route Avril;58300;DECIZE   ;Non;Non
478;Lycée PRIVE OZANAM ;14-nov.-07;Non;03 85 21 09 81  ;lycee@ndozanam.org;45 Rue de l'Heritan;71000;MACON   ;Non;Non
479;LEGTP René CASSIN;;Non;03 85 39 53 50;0710048s@ac-dijon.fr;49 boulevard des Neuf Clés;71018;MACON   ;Non;Oui
480;Lycée LAMARTINE;23-oct.-15;Non;03 85 20 46 00;0710045n@ac-dijon.fr;381 avenue des Gaises;71018;MACON CEDEX  ;S;Non
481;IUT;21/11/2007;Non;03 85 42 43 44;adm@iutchalon.u-bourgogne.fr;1 Allée des Granges Forestier;71100;CHALON SUR SAONE ;Non;DUT GIM
482;IUT;21/11/2007;Non;03 85 42 43 44;;1 Allée des Granges Forestier;71100;CHALON SUR SAONE ;Non;DUT SGM
483;LEGTP Julien Wittmer;5-mai-10;Non;03 85 88 01 07 ;0710018j@ac-dijon.fr;13 Rue de Champagny;71120;CHAROLLES   ;Oui;Oui
484;LTCA;15-avr.-10;Non;03 85 47 82 82 ;legta.fontaines@educagri.fr;10 Rue de la platière ;71150;FONTAINES   ;Oui;Non
485;Lycée CAMILLE CLAUDEL;5-juin-14;Non;03 85.53.61.00;0711137a@ac-dijon.fr;Route de Roanne BP 56;71160;DIGOIN   ;Oui;Oui
486;IUT;;Non;03 85 73 10 00;;12 rue de la Fonderie;71200;LE CREUSOT  ;Non;DUT GMP
487;IUT;;Non;03 85 73 10 00;;12 rue de la Fonderie;71200;LE CREUSOT  ;Non;DUT MP
488;IUT;;Non;03 85 73 10 00;;12 rue de la Fonderie;71200;LE CREUSOT  ;Non;DUT GEII
489;Lycée POLYVALENT LEON BLUM;22-avr.-10;Non;03.85.77.67.00;0710026t@ac-dijon.fr;B.P. 120;71203;LE CREUSOT CEDEX ;Oui;Oui
490;L.Poly. PRAT''S;14-nov.-07;Non;03 85 59 57 00;0710023p@ac-dijon.fr;Rue du 19 mars BP 28;71250;CLUNY   ;Non;Non
491;Lycée Poly. H. PARRIAT;14-nov.-07;Non;03.85.67.92.30;0710054y@ac-dijon.fr;49 rue de Gourdon - BP 173;71307;MONTCEAU LES MINES CEDEX;Oui;Oui
492;Lycée Nicéphore Niépce;21/10/2016;Oui;03 85 97 96 00;0710012c@ac-dijon.fr;141 Avenue Boucicaut  BP 99;71321;CHALON SUR SAONE ;Oui;Oui
